code,status
ADP,withdrawn
AED,active
AFA,withdrawn
AFN,active
ALK,withdrawn
ALL,active
AMD,active
ANG,active
AOA,active
AOK,withdrawn
AON,withdrawn
AOR,withdrawn
ARA,withdrawn
ARP,withdrawn
ARS,active
ARY,withdrawn
ATS,withdrawn
AUD,active
AWG,active
AYM,withdrawn
AZM,withdrawn
AZN,active
BAD,withdrawn
BAM,active
BBD,active
BDT,active
BEC,withdrawn
BEF,withdrawn
BEL,withdrawn
BGJ,withdrawn
BGK,withdrawn
BGL,withdrawn
BGN,active
BHD,active
BIF,active
BMD,active
BND,active
BOB,active
BOP,withdrawn
BOV,active
BRB,withdrawn
BRC,withdrawn
BRE,withdrawn
BRL,active
BRN,withdrawn
BRR,withdrawn
BSD,active
BTN,active
BUK,withdrawn
BWP,active
BYB,withdrawn
BYN,active
BYR,withdrawn
BZD,active
CAD,active
CDF,active
CHC,withdrawn
CHE,active
CHF,active
CHW,active
CLF,active
CLP,active
CNY,active
COP,active
COU,active
CRC,active
CSD,withdrawn
CSJ,withdrawn
CSK,withdrawn
CUC,active
CUP,active
CVE,active
CYP,withdrawn
CZK,active
DDM,withdrawn
DEM,withdrawn
DJF,active
DKK,active
DOP,active
DZD,active
ECS,withdrawn
ECV,withdrawn
EEK,withdrawn
EGP,active
ERN,active
ESA,withdrawn
ESB,withdrawn
ESP,withdrawn
ETB,active
EUR,active
FIM,withdrawn
FJD,active
FKP,active
FRF,withdrawn
GBP,active
GEK,withdrawn
GEL,active
GHC,withdrawn
GHP,withdrawn
GHS,active
GIP,active
GMD,active
GNE,withdrawn
GNF,active
GNS,withdrawn
GQE,withdrawn
GRD,withdrawn
GTQ,active
GWE,withdrawn
GWP,withdrawn
GYD,active
HKD,active
HNL,active
HRD,withdrawn
HRK,withdrawn
HTG,active
HUF,active
IDR,active
IEP,withdrawn
ILP,withdrawn
ILR,withdrawn
ILS,active
INR,active
IQD,active
IRR,active
ISJ,withdrawn
ISK,active
ITL,withdrawn
JMD,active
JOD,active
JPY,active
KES,active
KGS,active
KHR,active
KMF,active
KPW,active
KRW,active
KWD,active
KYD,active
KZT,active
LAJ,withdrawn
LAK,active
LBP,active
LKR,active
LRD,active
LSL,active
LSM,withdrawn
LTL,withdrawn
LTT,withdrawn
LUC,withdrawn
LUF,withdrawn
LUL,withdrawn
LVL,withdrawn
LVR,withdrawn
LYD,active
MAD,active
MDL,active
MGA,active
MGF,withdrawn
MKD,active
MLF,withdrawn
MMK,active
MNT,active
MOP,active
MRO,withdrawn
MRU,active
MTL,withdrawn
MTP,withdrawn
MUR,active
MVQ,withdrawn
MVR,active
MWK,active
MXN,active
MXP,withdrawn
MXV,active
MYR,active
MZE,withdrawn
MZM,withdrawn
MZN,active
NAD,active
NGN,active
NIC,withdrawn
NIO,active
NLG,withdrawn
NOK,active
NPR,active
NZD,active
OMR,active
PAB,active
PEH,withdrawn
PEI,withdrawn
PEN,active
PES,withdrawn
PGK,active
PHP,active
PKR,active
PLN,active
PLZ,withdrawn
PTE,withdrawn
PYG,active
QAR,active
RHD,withdrawn
ROK,withdrawn
ROL,withdrawn
RON,active
RSD,active
RUB,active
RUR,withdrawn
RWF,active
SAR,active
SBD,active
SCR,active
SDD,withdrawn
SDG,active
SDP,withdrawn
SEK,active
SGD,active
SHP,active
SLE,active
SIT,withdrawn
SKK,withdrawn
SLL,withdrawn
SOS,active
SRD,active
SRG,withdrawn
SSP,active
STD,withdrawn
STN,active
SUR,withdrawn
SVC,active
SYP,active
SZL,active
THB,active
TJR,withdrawn
TJS,active
TMM,withdrawn
TMT,active
TND,active
TOP,active
TPE,withdrawn
TRL,withdrawn
TRY,active
TTD,active
TWD,active
TZS,active
UAH,active
UAK,withdrawn
UGS,withdrawn
UGW,withdrawn
UGX,active
USD,active
USN,active
USS,withdrawn
UYI,active
UYN,withdrawn
UYP,withdrawn
UYU,active
UYW,active
UZS,active
VEB,withdrawn
VED,active
VEF,withdrawn
VES,active
VNC,withdrawn
VND,active
VUV,active
WST,active
XAF,active
XAG,active
XAU,active
XBA,active
XBB,active
XBC,active
XBD,active
XBT,withdrawn
XCD,active
XDR,active
XEU,withdrawn
XFO,withdrawn
XFU,withdrawn
XOF,active
XPD,active
XPF,active
XPT,active
XRE,withdrawn
XSU,active
XTS,active
XUA,active
XXX,active
YDD,withdrawn
YER,active
YUD,withdrawn
YUM,withdrawn
YUN,withdrawn
ZAL,withdrawn
ZAR,active
ZMK,withdrawn
ZMW,active
ZWG,active
ZRN,withdrawn
ZRZ,withdrawn
ZWC,withdrawn
ZWD,withdrawn
ZWL,withdrawn
ZWN,withdrawn
ZWR,withdrawn
